label,nl-BE,es,en,fr,zh,ru,th,tr,id
items_add_minus,Corrigatie hoeveelheid,Inventario a agregar/substraer,Inventory to add/subtract,Ajoujer/Soustraire à l\'Inventaire,增/減庫存,Инвентарь для сложения/вычитания,เพิ่ม/ลบ จำนวนสินค้าคงคลัง,Eklenen/Çıkarılan Adet,Penyesuaian Inventori TAMBAH / KURANG (-)
items_allow_alt_desciption,,,,,,,Allow Alt Description,,
items_allow_alt_description,Aanpasbare omschrijving,Permitir Descripción Alternativa,Allow Alt Description,Autoriser Description Alt,允許ALT描述,Разрешить альтернативные описания,,Dip Nota izin ver,Deskripsi Alternatif dimungkinkan
items_amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon
items_basic_information,Productinformatie,Infomación del Artículo,Item Information,Informations sur l\'Item,產品訊息,информацию о товаре,ข้อมูลสินค้ส,Ürün Bilgisi,Informasi Item
items_bin,Schap,Bin,Bin,Bin,Bin,Bin,Bin,Bin,Bin
items_bulk_edit,Bewerk Selectie,Edición Múltiple,Bulk Edit,Édition en groupe,批次編輯,Массовое изменение,แก้ไขความจุ,Toplu Düzenleme,Ubah Massal
items_buy_price_required,Buy price is a required field,Precio de Compra es requerido,Purchase price is a required field,Le Prix d\'achat est requis,進貨價為必填欄位,Цена покупки обязательное пробелья,ราคาซื้อขายต้องกรอก,Alış Fiyatı zorunlu alandır,Harga Beli wajib diisi
items_cannot_be_deleted,De geselecteerde producten konden niet worden verwijderd.,No se pueden borrar los artículos seleccionados. Uno o más tiene(n) ventas.,"Could not deleted selected items, one or more of the selected items has sales.",Impossible de supprimer. Un ou plusiers des items sélectionnés a des ventes.,無法刪除選定產品，所選產品中的一個或多個有銷售紀綠。,"Невозможно удалить выбранные товари, один или более из выбранных товаров имеет продаж.","ไม่สามารถลบสินค้าที่เลือก, สินค้าที่เลือกถูกขายไปแล้ว.","Seçili ürünler silinemedi, bazı ürünlerin satışı var.","Tidak dapat menghapus item terpilih, satu atau lebih item yang dipilih memiliki penjualan."
items_cannot_find_item,Er werd geen informatie gevonden omtrent product,No puedo encontrar información acerca del artículo,Cannot find any information about item,Impossible de récu[érer des informations,無法找到任何有關的產品,не могу найти любую информацию о товаре,ไม่พบข้อมูลของสินค้า,Ürün bilgisi bulunamadı,Tidak dapat menemukan informasi apapun tentang item
items_category,Categorie,Categoría,Category,Categorie,類別,Категория,หมวดหมู่,Kategori,Kategori
items_category_required,Categorie moet ingevuld worden,Categoría es requerido,Category is a required field,La Catégorie est requise,類別為必填欄位,Категория обязательное пробелья,หมวดหมู่สินค้าต้องกรอก,Kategori zorunlu alandır,Kategori wajib diisi
items_change_all_to_allow_alt_desc,Aanpasb. omschrijvingen,Permitir Descripción Alternativa Para Todos, Allow Alt Desc For All, Autoriser Desc Alt Pour Tous, 充許全部ALT倒序,Разрешить альтернативные Описание для всех, Allow Alt Desc For All, Tümünde dip nota izin ver, Diijinkan Deskripsi alternatif untuk semua
items_change_all_to_not_allow_allow_desc,Vaste omschrijvingen,Denegar Descripción Alternativa Para Todos,Not Allow Alt Desc For All,Interdire Desc Alt Pour Tous,不允許全部ALT倒序,Не разрешить альтернативные Описание для всех,Not Allow Alt Desc For All,Tümünde dip nota izin verme,Tidak Diijinkan Deskripsi alternatif untuk semua
items_change_all_to_serialized,Genummerd,Cambiar Todo A Serializado,Change All To Serialized,Tout Sérialiser,全部更改序號至序列化,Изменить все в сериализованную,เปลี่ยนแปลงรหัสสินค้าทั้งหมด,Tümünü seri numaralı yap,Ubah semua menggunakan nomor serial
items_change_all_to_unserialized,Niet genummerd,Cambiar Todo A Deserializado,Change All To Unserialized,Tout désérialiser,全部更改序號至非序列化,Изменить все в несериализованную,ลบรหัสสินค้าทั้งหมด,Tümünü seri numarasız yap,Ubah semua tanpa nomor serial
items_color,Kleur,Color,Color,Color,Color,Color,Color,Color,Color
items_confirm_bulk_edit,Bent u zeker dat u de geselecteerde producten wil aanpassen?,¿Estás seguro(a) de querer editar los artículos seleccionados?,Are you sure you want to edit all the items selected?,Etes vous sûre de vouloir éditer toute la sélection?,您確定您要編輯的所有選定的產品嗎？,"Вы уверены, что хотите редактировать все товари выбраны?",แน่ใจหรือไม่ที่จะแก้ใขสินค้าทั้งหมดที่คุณเลือก?,Seçili tüm ürünleri düzenlemek istediğinize emin misiniz?,Apakah Anda yakin ingin merubah semua item yang dipilih?
items_confirm_delete,Bent u zeker dat u de geselecteerde producten wil verwijderen?,¿Estás seguro(a) de querer borrar los artículos seleccionados?,Are you sure you want to delete the selected items?,Etes vous sûre de vouloir supprimer la sélection?,你確定你要刪除選定的產品嗎？,"Вы уверены, что хотите удалить выбранные товари?",โปรดยืนยันการลบสินค้าที่ถูกเลือก?,Seçili ürünleri silmek istediğinize emin misiniz?,Apakah Anda yakin ingin menghapus item yang dipilih?
items_cost_price,Aankoopprijs,Precio de Compra,Cost Price,Prix de Gros,成本價,Оптовая Цена,ราคาทุน,Maliyet Fiyatı,Harga Pokok
items_cost_price_number,Kostprijs moet een cijfer zijn,Precio de Compra debe ser número,Cost price must be a number,Le Prix d\'achat doit etre un nombre,成本價必需是數值,Оптовая цена должно быть число,ราคาทุนต้องเป็นตัวเลข,Fiyat sayı olmalıdır (9.90),Biaya Item harus angka
items_cost_price_required,Aankoopprijs moet ingevuld worden,Precio de Compra es requerido,Cost Price is a required field,Le Prix de gros est requis,成本價為必填攔位,Оптовая цена обязательное пробелья,ราคาทุนต้องกรอก,Maliyet Fiyatı zorunlu alandır,Biaya Item wajib diisi
items_count,Update Stock,Actualizar Inventario,Update Inventory,Mise à jour Inventaire,更新庫存,Обновление инвентории,แก้ไขจำนวนสินค้าคงคลัง,Stoğu Güncelle,Mutasi/Penyesuaian Inventori
items_current_quantity,Huidige hoeveelheid (%1),Cantidad Actual,Current Quantity (%1),Quantité Actuelle,當前數量,Количество Сейчас,ปริมาณสินค้าคงคลัง,Mevcut Adet,Jumlah Saat ini
items_description,Omschrijving,Descripción,Description,Description,描述,Описание,รายละเอียด,Tanım,Deskripsi
items_details_count,Stockgegevens,Detalles de Cuenta de Inventario,Inventory Count Details,Détais Inventaire,庫存盤點詳情,детали инвентаризацего количество,รายละเอียดจำนวนสินค้าคงคลัง,Stok Hareket Detayları,Jumlah Detail Inventori
items_do_nothing,Doe Niets,No Hacer Nada,Do Nothing,Ne rien faire,沒有執行任何修改,Ничего не делать,ไม่ต้องทำอะไร,Değiştirme,Tidak ada Perubahan
items_edit_fields_you_want_to_update,Bewerk de velden aan die u wil aanpassen voor ALLE geselecteerde producten,Edita los campos que quieras actualizar en TODOS los artículos seleccionados,Edit the fields you want to edit for ALL selected items,Modifiez les champs que vous voulez éditer pour TOUS les items sélectionnés,編輯您選定產品的所有欄位,Отредактируйте пробела вы хотите изменить для всех выбранных товаров,แก้ไขสินค้าทุกชนิดที่คุณเลือก,Seçili TÜM ürünler için düzenlemek istediğiniz alanları girin,Ubah bagian yang ingin Anda edit untuk SEMUA Item yang dipilih
items_edit_multiple_items,Meerdere Producten Bewerken,Editando Artículos Múltiples,Editing Multiple Items,Édition Multiple d\'Items,編輯多項產品,Редактирование нескольких товаров,แก้ใขสินค้าต่างๆ,Çoklu Ürün Güncelleme,Ubah Beberapa Item
items_error_adding_updating,Fout bij het toevoegen/aanpassen van een product,Error agregando/actualizando artículo,Error adding/updating item,Erreur d\'ajout/éditionn,新增/更新產品錯誤,Ошибка при добавлении/обновлении товара,เพิ่ม/ปรับแต่ง สินค้าล้มเหลว,Ürün ekleme/düzenleme hatası,Kesalahan ketika menambahkan/memperbarui item
items_error_updating_multiple,Fout bij het bewaren van producten,Error actualizando artículos,Error updating items,Erreur d\'édition,更新產品錯誤,Ошибка при обновлении товаров,ปรับแต่งสินค้าล้มเหลว,Ürün düzenleme hatası,Kesalahan ketika memperbarui item
items_excel_import_failed,Excel import mislukt,Falló la importación de Excel,Excel import failed,Echec Import d\'Excel,Excel匯入失敗,Ошибка импорта Excel,นำเข้าข้อมูล Excel ล้มเหลว,Excel aktarım hatası,Impor dari Excel tidak berhasil dilakukan
items_generate_barcodes,Genereer Barcodes,Generar Códigos de Barras,Generate Barcodes,Générer des Coddes-barre,產生條碼,Создайте штрих-кодов,สร้างบาร์โค๊ด,Barkod Üret,Buat Barcode
items_image,Afbeelding,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar,Avatar
items_info_provided_by,Info provided by,Info provista por,Info provided by,Infos fournies by,訊息提供者,"Информация, представленная",จัดเตรียมข้อมูลโดย,Bilgi sağlayan,Info disediakan oleh
items_inventory,Stock,Inventario,Inventory,Inventaire,庫存,инвентаризация,สินค้าคงเหลือ,Stok,Inventori
items_inventory_comments,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,คำอธิบาย,Yorumlar,Keterangan
items_is_deleted,Verwijderd,Eliminado,Deleted,Supprimé,Deleted,Deleted,ถูกลบแล้ว,Silinmiş,Item dihapus
items_is_serialized,Optelbaar,El Artículo tiene Número de Serie,Item has Serial Number,Item a un Numéro de Série,產品有序號,Товар имеет серийный номер,สินค้ามีซีเรียวนัมเบอร์,Seri Numaralı Ürün,Item Memiliki Nomor Serial
items_item,Product,Artículo,Item,Item,產品,Товар,สินค้า,Ürün,Item
items_item_number,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,โค๊ด,UPC/EAN/ISBN,Kode Barang
items_item_number_duplicate,De barcode nummer is reeds aanwezig in de database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database
items_location,Locatie,Ubicación,Location,Location,位置,место,ที่ตั้ง,Yer,Lokasi Barang
items_low_inventory_items,Producten niet in stock,Artículos de Inventario Escaso,Out Of Stock Items,Items à Stock Faible,低庫存產品,Низкий инвентаризации товары,สินค้าคงเหลือน้อย,,Daftar Stock Rendah
items_manually_editing_of_quantity,Manuele aanpassing hoeveelheid,Edición Manual de Cantidad,Manual Edit of Quantity,Édition Manuelle de Quantité,手動編輯數量,Руководство Изменить количество,แก้ไขจำนวน,Elle adet düzeltme,Perubahan jumlah Stok secara manual
items_must_select_item_for_barcode,U moet ten minste 1 product selecteren om een barcode te genereren,Debes seleccionar al menos 1 artículo para generar códigos de barras,You must select at least 1 item to generate barcodes,Vous devez sélectionner au moins un item,您必須至少選擇一個產品生才能產生條碼,Вы должны выбрать хотя бы 1 товар для создания штрих-кодов,คุต้องเลือกสินค้าอย่างน้อยหนึ่งอย่างเพื่อจะสร้างบาร์โค๊ด,Barkod üretmek için en az bir ürün seçmelisiniz,Anda harus memilih minimal 1 item untuk membuat barcode
items_name,Productnaam,Nombre del Artículo,Item Name,Nom,產品名稱,название товара,ชื่อสินค้า,Ürün Adı,Nama Barang
items_name_required,Productnaam moet ingevuld worden,Nombre de Artículo es requerido,Item Name is a required field,Le Nom est requis,產品名稱為必填,Название товара обязательное пробелья,ชื่อสินค้าต้องกรอก,Ürün Adı zorunlu alandır,Nama item wajib diisi
items_new,Nieuw Product,Nuevo Artículo,New Item,Nouvel Item,新增產品,Новый Товар,เพิ่มรายการสินค้า,Yeni Ürün,Buat Item Baru
items_no_description_items,Producten zonder omschrijving,Artículos sin Descripción,No Description Items,Items sans Description,產品沒有說明,без Описание товары,สินค้าที่ไม่มีคำอธิบายหรือวิธีการใช้,Tanımı olmayan ürünler,Produk/Item tidak ada deskripsi
items_no_items_to_display,Er werden geen producten gevonden,No hay artículos que mostrar,No Items to display,Aucun Items à afficher,沒有產品可以顯示,Нет товаров для отображения,ไม่มีสินค้าแสดง,Gösterecek Ürün Yok,Tidak ada item untuk ditampilkan
items_none,Geen,Ninguno,None,Aucun,無,Ничего,ว่างเปล่า,Hiçbiri,Tidak Ada
items_none_selected,U hebt geen producten geselecteerd,No has seleccionado artículos para editar,You have not selected any items to edit,Vous n\\\'avez sélectionné aucun élément,您還沒有選擇任何產品進行編輯,Вы не выбрали ни одной товари для редактирования,กรุณาเลือสินค้าที่ต้องการแก้ไข,Düzenlemek için ürün seçmediniz,Anda belum memilih item untuk diubah
items_number_information,Productnummer,Número del Artículo,Item Number,Numbéro d\'Item,產品編號,Номер Товара,หมายเลขสินค้า,Ürün No,Nomor Barang
